,token,count
0,trump,7811
1,said,7383
2,president,3997
3,house,3495
4,will,3079
5,new,2277
6,white,2184
7,senate,2002
8,democrats,1963
9,campaign,1933
10,republican,1703
11,former,1682
12,donald,1674
13,one,1641
14,state,1639
15,last,1610
16,court,1526
17,federal,1515
18,people,1478
19,republicans,1478
20,democratic,1466
21,border,1388
22,government,1380
23,first,1371
24,two,1329
25,told,1315
26,election,1260
27,says,1214
28,national,1163
29,security,1154
30,percent,1153
31,including,1134
32,political,1119
33,department,1083
34,justice,1074
35,investigation,1072
36,special,1059
37,fbi,1051
38,made,1016
39,whether,998
40,russia,997
41,congress,982
42,officials,967
43,immigration,965
44,attorney,953
45,russian,939
46,many,933
47,say,913
48,bill,911
49,committee,909
50,vote,890
51,kavanaugh,885
52,administration,876
53,law,872
54,general,867
55,time,852
56,gop,849
57,tax,839
58,public,839
59,american,827
60,according,822
61,presidential,819
62,office,812
63,states,805
64,year,805
65,make,797
66,even,764
67,may,761
68,counsel,755
69,legal,752
70,voters,742
71,going,740
72,now,736
73,supreme,723
74,called,715
75,support,711
76,back,706
77,secretary,700
78,children,698
79,think,696
80,health,692
81,work,690
82,take,690
83,years,687
84,mueller,678
85,saying,671
86,congressional,662
87,party,661
88,news,632
89,wall,626
90,meeting,615
91,several,612
92,united,608
93,leader,605
94,want,603
95,among,601
96,part,601
97,policy,587
98,without,586
99,report,584
100,case,583
101,money,579
102,lawmakers,565
103,next,564
104,washington,564
105,week,562
106,director,560
107,much,558
108,manafort,556
109,asked,554
110,judge,553
111,top,553
112,majority,548
113,sexual,547
114,tuesday,547
115,another,543
116,million,543
117,information,540
118,shutdown,539
119,cohen,539
120,decision,538
121,still,537
122,never,537
123,country,535
124,robert,535
125,three,533
126,day,522
127,days,516
128,end,515
129,democrat,515
130,know,506
131,women,506
132,see,503
133,friday,503
134,york,501
135,members,501
136,statement,498
137,questions,497
138,care,496
139,number,488
140,allegations,487
141,intelligence,487
142,americans,483
143,come,477
144,leaders,475
145,prosecutors,475
146,team,468
147,thursday,468
148,already,466
149,deal,463
150,clinton,462
151,recent,460
152,north,459
153,interview,456
154,way,452
155,group,451
156,used,450
157,use,448
158,came,448
159,billion,447
160,long,447
161,contributed,445
162,wednesday,445
163,monday,440
164,immigrants,438
165,foreign,436
166,likely,428
167,early,427
168,votes,427
169,right,424
170,need,424
171,took,423
172,expected,421
173,obama,421
174,race,419
175,though,417
176,chairman,416
177,michael,416
178,john,414
179,official,412
180,later,410
181,sessions,409
182,released,409
183,chief,407
184,clear,404
185,criminal,401
186,conservative,396
187,issue,393
188,set,392
189,plan,392
190,possible,389
191,put,388
192,legislation,388
193,control,387
194,earlier,386
195,months,381
196,judiciary,380
197,help,379
198,past,379
199,go,379
200,well,379
201,funding,379
202,district,378
203,senators,378
204,spending,376
205,voting,375
206,look,372
207,reported,367
208,person,364
209,potential,364
210,high,364
211,pay,364
212,making,364
213,hearing,362
214,working,362
215,announced,360
216,personal,360
217,nearly,359
218,evidence,357
219,must,354
220,least,354
221,military,353
222,private,352
223,reporters,350
224,voter,349
225,key,349
226,media,349
227,moore,348
228,accused,347
229,trying,347
230,month,341
231,order,341
232,charges,341
233,held,340
234,paul,340
235,every,339
236,left,339
237,elections,339
238,comey,337
239,keep,337
240,candidates,336
241,efforts,334
242,probe,334
243,brett,331
244,along,331
245,executive,330
246,times,329
247,won,328
248,show,327
249,question,327
250,four,326
251,lawyer,326
252,might,325
253,move,323
254,agency,322
255,business,321
256,found,319
257,change,318
258,family,317
259,provide,316
260,full,316
261,hillary,316
262,believe,316
263,trade,315
264,midterm,314
265,jeff,312
266,second,312
267,far,311
268,final,309
269,documents,308
270,spoke,307
271,seeking,306
272,power,304
273,lawyers,303
274,families,302
275,around,302
276,tried,300
277,black,299
278,across,299
279,weeks,298
280,defense,298
281,candidate,296
282,current,294
283,guilty,293
284,process,292
285,good,291
286,effort,290
287,primary,289
288,led,289
289,tweeted,289
290,action,288
291,issues,287
292,running,287
293,senior,287
294,staff,286
295,less,286
296,pelosi,285
297,letter,285
298,taking,284
299,photo,284
300,tweet,284
301,confirmation,282
302,close,281
303,give,281
304,ford,277
305,publicly,277
306,job,277
307,measure,277
308,comments,276
