Model,Article Length,Batch Size,Dropout,Recurant Dropout,Steps Per Epoch,F1
Bidirectional,250,32,0.1,0.1,500,0.864321608
Regular,250,32,0.1,0.1,500,0.608040201
Bidirectional,250,32,0.1,0.1,1000,0.889447236
Regular,250,32,0.1,0.1,1000,0.633165829
Bidirectional,250,32,0.1,0.2,500,0.814070352
Regular,250,32,0.1,0.2,500,0.56281407
Bidirectional,250,32,0.1,0.2,1000,0.879396985
Regular,250,32,0.1,0.2,1000,0.648241206
Bidirectional,250,32,0.2,0.1,500,0.829145729
Regular,250,32,0.2,0.1,500,0.64321608
Bidirectional,250,32,0.2,0.1,1000,0.819095477
Regular,250,32,0.2,0.1,1000,0.703517588
Bidirectional,250,32,0.2,0.2,500,0.814070352
Regular,250,32,0.2,0.2,500,0.618090452
Bidirectional,250,32,0.2,0.2,1000,0.844221106
Regular,250,32,0.2,0.2,1000,0.592964824
Bidirectional,250,64,0.1,0.1,500,0.819095477
Regular,250,64,0.1,0.1,500,0.683417085
Bidirectional,250,64,0.1,0.1,1000,0.849246231
Regular,250,64,0.1,0.1,1000,0.683417085
Bidirectional,250,64,0.1,0.2,500,0.859296482
Regular,250,64,0.1,0.2,500,0.633165829
Bidirectional,250,64,0.1,0.2,1000,0.889447236
Regular,250,64,0.1,0.2,1000,0.728643216
Bidirectional,250,64,0.2,0.1,500,0.834170854
Regular,250,64,0.2,0.1,500,0.623115578
Bidirectional,250,64,0.2,0.1,1000,0.879396985
Regular,250,64,0.2,0.1,1000,0.693467337
Bidirectional,250,64,0.2,0.2,500,0.849246231
Regular,250,64,0.2,0.2,500,0.653266332
Bidirectional,250,64,0.2,0.2,1000,0.864321608
Regular,250,64,0.2,0.2,1000,0.633165829
Bidirectional,500,32,0.1,0.1,500,0.844221106
Regular,500,32,0.1,0.1,500,0.527638191
Bidirectional,500,32,0.1,0.1,1000,0.83919598
Regular,500,32,0.1,0.1,1000,0.557788945
Bidirectional,500,32,0.1,0.2,500,0.824120603
Regular,500,32,0.1,0.2,500,0.557788945
Bidirectional,500,32,0.1,0.2,1000,0.804020101
Regular,500,32,0.1,0.2,1000,0.582914573
Bidirectional,500,32,0.2,0.1,500,0.804020101
Regular,500,32,0.2,0.1,500,0.522613065
Bidirectional,500,32,0.2,0.1,1000,0.834170854
Regular,500,32,0.2,0.1,1000,0.497487437
Bidirectional,500,32,0.2,0.2,500,0.814070352
Regular,500,32,0.2,0.2,500,0.527638191
Bidirectional,500,32,0.2,0.2,1000,0.829145729
Regular,500,32,0.2,0.2,1000,0.557788945
Bidirectional,500,64,0.1,0.1,500,0.834170854
Regular,500,64,0.1,0.1,500,0.572864322
Bidirectional,500,64,0.1,0.1,1000,0.819095477
Regular,500,64,0.1,0.1,1000,0.532663317
Bidirectional,500,64,0.1,0.2,500,0.859296482
Regular,500,64,0.1,0.2,500,0.532663317
Bidirectional,500,64,0.1,0.2,1000,0.854271357
Regular,500,64,0.1,0.2,1000,0.56281407
Bidirectional,500,64,0.2,0.1,500,0.83919598
Regular,500,64,0.2,0.1,500,0.542713568
Bidirectional,500,64,0.2,0.1,1000,0.834170854
Regular,500,64,0.2,0.1,1000,0.608040201
Bidirectional,500,64,0.2,0.2,500,0.83919598
Regular,500,64,0.2,0.2,500,0.537688442
Bidirectional,500,64,0.2,0.2,1000,0.849246231
Regular,500,64,0.2,0.2,1000,0.567839196
