,token,count
0,trump,2510
1,said,2009
2,president,1730
3,house,1656
4,new,1569
5,will,1414
6,democratic,1137
7,democrats,954
8,told,862
9,border,790
10,white,775
11,state,716
12,government,705
13,one,691
14,people,682
15,former,680
16,campaign,648
17,last,617
18,first,594
19,senate,561
20,federal,560
21,national,552
22,cohen,544
23,republican,537
24,committee,507
25,presidential,477
26,security,458
27,republicans,453
28,congress,435
29,support,427
30,including,425
31,wall,414
32,bill,412
33,called,407
34,contributed,404
35,percent,403
36,york,402
37,made,400
38,american,394
39,two,386
40,make,385
41,going,382
42,according,369
43,think,355
44,time,353
45,deal,351
46,back,346
47,take,339
48,health,338
49,pelosi,336
50,even,331
51,political,323
52,congressional,316
53,tax,307
54,leader,301
55,administration,299
56,sanders,296
57,may,296
58,years,294
59,vote,293
60,many,293
61,saying,293
62,green,290
63,asked,290
64,know,282
65,office,280
66,now,275
67,want,272
68,whether,272
69,attorney,272
70,work,272
71,end,269
72,report,263
73,law,262
74,plan,258
75,party,257
76,united,252
77,part,252
78,democrat,250
79,come,248
80,country,246
81,funding,245
82,need,243
83,care,241
84,say,240
85,shutdown,239
86,court,239
87,announced,238
88,public,237
89,members,235
90,washington,234
91,michael,234
92,immigration,233
93,statement,233
94,alexandria,230
95,primary,227
96,climate,225
97,day,224
98,special,224
99,tuesday,222
100,week,222
101,nancy,221
102,states,220
103,us,219
104,donald,212
105,officials,211
106,came,210
107,see,210
108,change,209
109,without,207
110,billion,206
111,year,206
112,speaker,205
113,majority,205
114,election,203
115,way,202
116,department,202
117,still,202
118,california,201
119,lawmakers,200
120,general,199
121,interview,199
122,partial,197
123,must,197
124,top,197
125,north,197
126,economic,195
127,never,195
128,media,195
129,making,195
130,another,194
131,run,194
132,women,193
133,says,193
134,comments,192
135,several,192
136,elected,191
137,secretary,191
138,took,190
139,john,189
140,justice,189
141,three,189
142,earlier,184
143,chairman,184
144,every,183
145,much,182
146,address,181
147,candidate,181
148,proposal,180
149,news,180
150,monday,180
151,meeting,179
152,next,178
153,thursday,178
154,go,177
155,already,177
156,right,176
157,money,176
158,action,175
159,americans,174
160,well,174
161,gop,173
162,leaders,173
163,world,172
164,calling,171
165,put,171
166,fbi,170
167,look,170
168,among,168
169,group,167
170,investigation,166
171,decision,165
172,running,165
173,move,165
174,post,165
175,long,164
176,legal,163
177,recent,163
178,financial,162
179,america,161
180,become,161
181,million,161
182,policy,160
