,token,count
0,trump,5446
1,tax,5206
2,will,4098
3,people,4013
4,health,4003
5,bill,3138
6,republicans,2655
7,one,2573
8,new,2566
9,care,2565
10,percent,2468
11,house,2384
12,senate,2300
13,said,2295
14,even,2291
15,republican,2285
16,democrats,1964
17,federal,1914
18,us,1869
19,president,1784
20,much,1722
21,state,1704
22,government,1643
23,make,1617
24,insurance,1562
25,many,1561
26,states,1534
27,white,1509
28,administration,1469
29,plan,1436
30,policy,1435
31,told,1428
32,going,1376
33,obamacare,1265
34,still,1260
35,political,1211
36,two,1202
37,democratic,1196
38,vote,1184
39,think,1143
40,first,1140
41,american,1138
42,law,1128
43,immigration,1094
44,budget,1092
45,americans,1092
46,cuts,1090
47,back,1078
48,congress,1069
49,medicaid,1069
50,way,1039
51,money,1039
52,likely,1033
53,million,1029
54,might,1004
55,voters,1001
56,now,1000
57,cut,996
58,pay,992
59,national,985
60,campaign,979
61,time,975
62,repeal,974
63,last,967
64,made,962
65,less,962
66,work,953
67,want,950
68,public,938
69,big,928
70,spending,915
71,support,895
72,actually,887
73,without,874
74,really,873
75,take,861
76,individual,857
77,donald,855
78,coverage,849
79,may,846
80,years,845
81,lot,842
82,see,841
83,need,837
84,party,836
85,taxes,830
86,congressional,829
87,whether,826
88,go,812
89,according,805
90,part,801
91,already,800
92,election,787
93,income,785
94,billion,781
95,immigrants,779
96,say,773
97,including,753
98,voter,748
99,gop,744
100,making,731
101,right,730
102,end,730
103,court,727
104,put,716
105,know,707
106,number,706
107,funding,702
108,every,700
109,year,698
110,corporate,694
111,plans,694
112,help,693
113,pass,689
114,rate,685
115,another,678
116,top,676
117,conservative,673
118,economic,671
119,come,670
120,daca,666
121,obama,666
122,something,657
123,current,657
124,program,650
125,long,644
126,increase,643
127,least,640
128,good,639
129,found,635
130,use,631
131,majority,624
132,far,617
133,legal,616
134,clear,613
135,enough,610
136,voting,607
137,next,607
138,border,604
139,united,603
140,votes,590
141,around,590
142,act,582
143,office,577
144,change,564
145,news,562
146,drug,555
147,reform,555
148,clinton,547
149,says,543
150,past,541
151,though,540
152,system,540
153,major,540
154,set,536
155,former,535
156,country,534
157,win,532
158,affordable,529
159,used,525
160,department,523
161,keep,522
162,security,520
163,among,518
164,senators,514
165,three,514
166,washington,511
167,idea,511
168,higher,511
169,little,508
170,deal,505
171,members,504
172,different,501
173,trying,497
174,cost,494
175,york,492
176,companies,491
177,getting,491
178,got,487
179,give,485
180,kind,484
181,simply,483
182,social,483
183,things,479
184,means,479
185,better,479
186,recent,472
187,rather,471
188,justice,466
189,proposal,464
190,mandate,463
191,private,461
192,child,460
193,issue,459
194,local,454
195,lower,453
196,important,450
197,legislation,448
198,real,444
199,case,444
200,well,444
201,family,444
202,committee,440
203,group,438
204,able,438
205,almost,436
206,point,436
207,order,436
208,become,435
209,believe,435
210,several,435
211,debate,433
212,lead,433
213,process,432
214,look,428
215,problem,427
216,came,426
217,working,423
218,report,423
219,women,422
220,early,422
221,changes,422
222,medicare,420
223,supreme,418
224,makes,418
