Model,Article Length,Batch Size,Dropout,Recurant Dropout,Steps Per Epoch,F1
Bidirectional,250,32,0.1,0.1,1000,0.889
Bidirectional,250,64,0.1,0.2,1000,0.889
Bidirectional,250,32,0.1,0.2,1000,0.879
Bidirectional,250,64,0.2,0.1,1000,0.879
Bidirectional,250,32,0.1,0.1,500,0.864
Bidirectional,250,64,0.2,0.2,1000,0.864
Bidirectional,250,64,0.1,0.2,500,0.859
Bidirectional,500,64,0.1,0.2,500,0.859
Bidirectional,500,64,0.1,0.2,1000,0.854
Bidirectional,250,64,0.1,0.1,1000,0.849
Bidirectional,250,64,0.2,0.2,500,0.849
Bidirectional,500,64,0.2,0.2,1000,0.849
Bidirectional,250,32,0.2,0.2,1000,0.844
Bidirectional,500,32,0.1,0.1,500,0.844
Bidirectional,500,32,0.1,0.1,1000,0.839
Bidirectional,500,64,0.2,0.1,500,0.839
Bidirectional,500,64,0.2,0.2,500,0.839
Bidirectional,250,64,0.2,0.1,500,0.834
Bidirectional,500,32,0.2,0.1,1000,0.834
Bidirectional,500,64,0.1,0.1,500,0.834
Bidirectional,500,64,0.2,0.1,1000,0.834
Bidirectional,250,32,0.2,0.1,500,0.829
Bidirectional,500,32,0.2,0.2,1000,0.829
Bidirectional,500,32,0.1,0.2,500,0.824
Bidirectional,250,32,0.2,0.1,1000,0.819
Bidirectional,250,64,0.1,0.1,500,0.819
Bidirectional,500,64,0.1,0.1,1000,0.819
Bidirectional,250,32,0.1,0.2,500,0.814
Bidirectional,250,32,0.2,0.2,500,0.814
Bidirectional,500,32,0.2,0.2,500,0.814
Bidirectional,500,32,0.1,0.2,1000,0.804
Bidirectional,500,32,0.2,0.1,500,0.804
Regular,250,64,0.1,0.2,1000,0.729
Regular,250,32,0.2,0.1,1000,0.704
Regular,250,64,0.2,0.1,1000,0.693
Regular,250,64,0.1,0.1,500,0.683
Regular,250,64,0.1,0.1,1000,0.683
Regular,250,64,0.2,0.2,500,0.653
Regular,250,32,0.1,0.2,1000,0.648
Regular,250,32,0.2,0.1,500,0.643
Regular,250,32,0.1,0.1,1000,0.633
Regular,250,64,0.1,0.2,500,0.633
Regular,250,64,0.2,0.2,1000,0.633
Regular,250,64,0.2,0.1,500,0.623
Regular,250,32,0.2,0.2,500,0.618
Regular,250,32,0.1,0.1,500,0.608
Regular,500,64,0.2,0.1,1000,0.608
Regular,250,32,0.2,0.2,1000,0.593
Regular,500,32,0.1,0.2,1000,0.583
Regular,500,64,0.1,0.1,500,0.573
Regular,500,64,0.2,0.2,1000,0.568
Regular,250,32,0.1,0.2,500,0.563
Regular,500,64,0.1,0.2,1000,0.563
Regular,500,32,0.1,0.1,1000,0.558
Regular,500,32,0.1,0.2,500,0.558
Regular,500,32,0.2,0.2,1000,0.558
Regular,500,64,0.2,0.1,500,0.543
Regular,500,64,0.2,0.2,500,0.538
Regular,500,64,0.1,0.1,1000,0.533
Regular,500,64,0.1,0.2,500,0.533
Regular,500,32,0.1,0.1,500,0.528
Regular,500,32,0.2,0.2,500,0.528
Regular,500,32,0.2,0.1,500,0.523
Regular,500,32,0.2,0.1,1000,0.497
